frame_id,runtime_variant,point_count,predicted_box_count,core_latency_ms,online_total_ms,preprocess_ms,vfe_ms,scatter_ms,backbone_head_ms,postprocess_ms,tracking_ms,latency_spike
000001,openpcdet_pytorch,120268,27,1521.6283390036551,,,,,1521.6283390036551,,,0
000002,openpcdet_pytorch,126891,17,11.807848000898957,,,,,11.807848000898957,,,0
000004,openpcdet_pytorch,115976,28,11.638157011475414,,,,,11.638157011475414,,,0
000005,openpcdet_pytorch,125086,17,17.139935996965505,,,,,17.139935996965505,,,0
000006,openpcdet_pytorch,110089,43,11.678559996653348,,,,,11.678559996653348,,,0
000008,openpcdet_pytorch,122555,32,9.889002001727931,,,,,9.889002001727931,,,0
000015,openpcdet_pytorch,122583,64,10.14736300567165,,,,,10.14736300567165,,,0
000019,openpcdet_pytorch,115697,37,14.49092100665439,,,,,14.49092100665439,,,0
000020,openpcdet_pytorch,126456,37,10.702273008064367,,,,,10.702273008064367,,,0
000021,openpcdet_pytorch,125260,28,13.687062993994914,,,,,13.687062993994914,,,0
000023,openpcdet_pytorch,120412,27,12.933726990013383,,,,,12.933726990013383,,,0
000024,openpcdet_pytorch,126730,19,12.988219008548185,,,,,12.988219008548185,,,0
000025,openpcdet_pytorch,115780,41,14.959578998968937,,,,,14.959578998968937,,,0
000027,openpcdet_pytorch,120641,19,14.143642998533323,,,,,14.143642998533323,,,0
000028,openpcdet_pytorch,115042,31,11.466269992524758,,,,,11.466269992524758,,,0
000031,openpcdet_pytorch,121291,21,9.692982988781296,,,,,9.692982988781296,,,0
000033,openpcdet_pytorch,109347,14,11.6303329996299,,,,,11.6303329996299,,,0
000035,openpcdet_pytorch,121784,43,15.43322901125066,,,,,15.43322901125066,,,0
000037,openpcdet_pytorch,113159,13,11.337274001562037,,,,,11.337274001562037,,,0
000039,openpcdet_pytorch,111670,13,14.091489996644668,,,,,14.091489996644668,,,0
000040,openpcdet_pytorch,124439,36,11.98306200967636,,,,,11.98306200967636,,,0
