frame_id,pytorch_box_count,trt_box_count,empty_prediction_file,point_preprocess_ms,trt_core_ms,pytorch_core_ms,nms_postprocess_ms,trt_score_mean,pytorch_score_mean
000001,27,27,0,5.53469400620088,3.9653819985687733,236.99578500236385,97.27435899549164,0.1702612042427063,0.17023657262325287
000002,17,17,0,3.511185001116246,3.541561003657989,9.768363001057878,1.5497090062126517,0.26250308752059937,0.2631290853023529
000004,28,28,0,6.580582994502038,3.5360729962121695,5.388663994381204,1.483207001001574,0.2613947093486786,0.2612437307834625
000005,17,17,0,8.16516499617137,3.097010005149059,5.38197900459636,4.196951005724259,0.18432627618312836,0.1844521313905716
000006,43,43,0,3.880373013089411,2.7043010049965233,5.491336996783502,1.5806970041012391,0.3063681125640869,0.30628958344459534
000008,32,32,0,3.723410001839511,3.4038390003843233,5.403418996138498,4.164324011071585,0.3601353168487549,0.35986852645874023
000015,64,64,0,1.8415509985061362,3.125956005533226,5.448262993013486,1.6738790000090376,0.27869531512260437,0.27857494354248047
000019,37,37,0,2.9264379991218448,5.75186000787653,5.174135003471747,1.9772960076807067,0.22928442060947418,0.2292146384716034
000020,37,37,0,2.382297010626644,3.4449500089976937,7.791212992742658,1.3709869963349774,0.21097582578659058,0.21090561151504517
000021,28,28,0,2.937921992270276,3.1574650056427345,5.340061004972085,3.441458989982493,0.34272003173828125,0.34267908334732056
000023,27,26,0,3.6994160036556423,2.7452100039226934,5.577781004831195,1.4709090028190985,0.1989736706018448,0.1953633427619934
000024,19,19,0,4.873045007116161,3.4334070078330114,5.373082996811718,1.3221670087659732,0.2876931428909302,0.287609338760376
000025,41,41,0,2.4300110089825466,2.68824900558684,7.911095002782531,2.092023001750931,0.3386915624141693,0.33861780166625977
000027,19,19,0,6.729087006533518,2.7613720012595877,5.592798988800496,1.7103810096159577,0.18448123335838318,0.18461832404136658
000028,31,31,0,3.2172499923035502,3.68201699166093,5.477188009535894,1.4001959934830666,0.24462440609931946,0.24443916976451874
000031,21,21,0,2.018535989918746,6.128139008069411,5.598556992481463,1.568637992022559,0.35322022438049316,0.35311511158943176
000033,14,14,0,5.884418991627172,3.519642006722279,5.529141999431886,1.6198259982047603,0.2402011901140213,0.24019832909107208
000035,43,43,0,4.251238002325408,3.361542010679841,5.489411007147282,3.4902810002677143,0.2805689573287964,0.28044596314430237
000037,13,13,0,2.3235760017996654,3.8939779915381223,5.403918999945745,1.4871789899189025,0.3174782395362854,0.3171485364437103
000039,13,13,0,1.841420991695486,5.1699670002562925,5.072703992482275,1.736093996441923,0.4309539496898651,0.4306158721446991
000040,36,36,0,3.277732990682125,2.727430997765623,8.196224007406272,1.8842179997591302,0.22191035747528076,0.22175675630569458
000042,25,25,0,4.160627999226563,4.164035999565385,12.829596002120525,3.3048179902834818,0.21481506526470184,0.21479231119155884
000047,20,20,0,5.312099005095661,3.7134129961486906,5.434000006061979,1.3234040088718757,0.4160436689853668,0.4153204560279846
000048,78,78,0,2.275688006193377,2.974142989842221,7.960062997881323,1.5389210020657629,0.23208515346050262,0.2320503145456314
000050,26,26,0,1.9401379977352917,3.4913010022137314,5.352742999093607,1.430305012036115,0.31042957305908203,0.31044310331344604
