experiment,frame_id,axis,perturbation,frame_offset,projected_valid_count,avg_reprojection_shift_px,median_reprojection_shift_px,p95_reprojection_shift_px,box_center_displacement_bev_m,changed_association_count,current_detection_count,shifted_detection_count,note
yaw,000000,yaw,-3.0,,1072,45.28357928409678,42.63506365860791,60.31689982350485,,,,,
yaw,000000,yaw,-2.5,,1069,37.81990779075888,35.54994583266784,50.60772937841506,,,,,
yaw,000000,yaw,-2.0,,1063,30.288317563941774,28.469104968160348,40.54248589774952,,,,,
yaw,000000,yaw,-1.5,,1067,22.793971146103782,21.387739498805637,30.637715206223344,,,,,
yaw,000000,yaw,-1.0,,1067,15.234237341348372,14.300110054809355,20.55390255296103,,,,,
yaw,000000,yaw,-0.75,,1069,11.439112279169528,10.746791247694084,15.456834128562406,,,,,
yaw,000000,yaw,-0.5,,1070,7.641907758438396,7.17340657661269,10.356952323314683,,,,,
yaw,000000,yaw,-0.25,,1073,3.8255781695629723,3.588951630905001,5.2166453023144745,,,,,
yaw,000000,yaw,0.0,,1075,0.0,0.0,0.0,,,,,
yaw,000000,yaw,0.25,,1071,3.822137510357944,3.5866930711003033,5.185408969571767,,,,,
yaw,000000,yaw,0.5,,1068,7.6293491993027525,7.171259927017272,10.291290221359006,,,,,
yaw,000000,yaw,0.75,,1067,11.434470253603715,10.741335238971171,15.348550411731749,,,,,
yaw,000000,yaw,1.0,,1062,15.20972012701623,14.298788532287816,20.324097934533146,,,,,
yaw,000000,yaw,1.5,,1060,22.77588414542195,21.464053042177685,30.37608489564008,,,,,
yaw,000000,yaw,2.0,,1060,30.282785968985625,28.58269755269704,40.304000624101484,,,,,
yaw,000000,yaw,2.5,,1069,37.79556604281412,35.686386298161864,50.232653377183254,,,,,
yaw,000000,yaw,3.0,,1071,45.293790043222344,42.778842870521245,60.29445562601208,,,,,
translation,000000,x,-0.2,,1067,13.538150191907622,12.073584073890068,23.06474517234389,,,,,
translation,000000,x,-0.1,,1069,6.76232145708626,6.033823988680199,11.522869695651048,,,,,
translation,000000,x,0.0,,1075,0.0,0.0,0.0,,,,,
translation,000000,x,0.1,,1073,6.753644167948517,6.034051197231198,11.511787410847738,,,,,
translation,000000,x,0.2,,1068,13.45604434646524,12.062815590658644,22.849425084149434,,,,,
translation,000000,y,-0.2,,1166,13.527869937536554,12.117281401415044,23.040134087521533,,,,,
translation,000000,y,-0.1,,1120,6.7636356437123055,6.058426690405353,11.519292303257616,,,,,
translation,000000,y,0.0,,1075,0.0,0.0,0.0,,,,,
