perturbation_type,perturbation_value,frame_count,sampling_mode,car_ap_3d_moderate,ped_ap_3d_moderate,cyc_ap_3d_moderate,mean_ap_3d_moderate,delta_car,delta_ped,delta_cyc,delta_mean
deployment_precision,openpcdet_original,200,quick-dense,51.275490047436314,17.377991947125967,27.929215401125145,32.19423246522914,0.0,0.0,0.0,0.0
deployment_precision,trt_backbone_head_only,200,quick-dense,51.33208004076113,17.383325385811176,27.925265750583357,32.21355705905189,0.05658999332481329,0.005333438685209302,-0.003949650541787975,0.019324593822744873
deployment_precision,wrapper_pytorch,200,quick-dense,51.28252504186695,17.377991947125967,27.929215401125145,32.196577463372684,0.007034994430632935,0.0,0.0,0.002344998143541943
point_dropout,0.00,200,quick-dense,51.28252504186695,17.377991947125967,27.929215401125145,32.196577463372684,0.007034994430632935,0.0,0.0,0.002344998143541943
point_dropout,0.05,200,quick-dense,49.850592720297605,18.74699618516404,27.166564095463887,31.921384333641843,-1.4248973271387086,1.3690042380380731,-0.762651305661258,-0.27284813158729904
point_dropout,0.10,200,quick-dense,51.42209414979023,19.83216117672162,29.836291053169457,33.696848793227105,0.14660410235391907,2.454169229595653,1.9070756520443126,1.5026163279979627
point_dropout,0.15,200,quick-dense,47.18308816912389,22.34969673001888,24.166477958376515,31.233087619173094,-4.0924018783124225,4.971704782892914,-3.76273744274863,-0.9611448460560474
point_dropout,0.20,200,quick-dense,47.35447919689778,23.344311159743736,24.903277275320114,31.867355877320545,-3.9210108505385364,5.966319212617769,-3.0259381258050304,-0.32687658790859686
point_dropout,0.30,200,quick-dense,45.74528942411868,16.888178856267423,19.52833602156358,27.387268100649894,-5.530200623317633,-0.48981309085854363,-8.400879379561566,-4.8069643645792475
point_dropout,0.40,200,quick-dense,43.85147152155732,10.120498499283382,17.152083844518057,23.708017955119587,-7.424018525878992,-7.2574934478425845,-10.777131556607088,-8.486214510109555
