frame_id,detection_count,visible_track_count,legacy_visible_track_count,legacy_association_latency_ms,association_latency_ms,association_matrix_size,gated_pair_count,spawned_tracks,expired_tracks,track_id_switch_proxy,scipy_available,source_mode,dbscan_sample_step
000000,21,21,21,0.1511999998911051,0.14820000069448724,0,0,21,0,0,False,dbscan_baseline_fallback,9
000001,3,3,3,2.314900000783382,0.3224000010959571,63,2,1,0,0,False,dbscan_baseline_fallback,10
000002,4,5,5,2.566600000136532,0.377200000002631,88,6,0,0,0,False,dbscan_baseline_fallback,10
000003,6,10,10,2.6489000010769814,0.4086999997525709,132,9,1,13,3,False,dbscan_baseline_fallback,9
000004,14,20,20,0.8065999991231365,0.2738999992288882,140,7,11,0,0,False,dbscan_baseline_fallback,9
000005,17,21,23,2.2927000009076437,0.43679999907908496,357,11,12,3,0,False,pointpillars,
000006,43,46,47,9.476600000198232,0.7618999989063013,1290,22,36,2,0,False,pointpillars,
000007,31,40,41,48.51600000074541,1.4269000002968824,1984,22,19,6,0,False,pointpillars,
000008,32,46,47,72.6859999995213,0.9443999988434371,2464,14,23,8,0,False,pointpillars,
000009,19,38,34,166.76969999934954,1.0230999996565515,1748,14,11,26,2,False,pointpillars,
000010,48,58,54,60.977200000706944,1.4573999997082865,3696,45,20,19,0,False,pointpillars,
000011,46,65,67,61.6742999991402,1.3604999985545874,3588,47,22,12,0,False,pointpillars,
000012,21,54,50,142.35120000012103,1.3911000005464302,1848,18,9,9,0,False,pointpillars,
000013,44,68,65,97.3907000006875,1.6443999993498437,3872,51,25,21,0,False,pointpillars,
000014,56,70,74,126.64700000095763,2.3992000005819136,5152,131,18,24,3,False,pointpillars,
000015,64,94,101,79.0913000000728,2.159699999538134,5504,83,35,8,0,False,pointpillars,
000016,33,81,73,328.4683000001678,1.9011000003956724,3729,46,15,6,0,False,pointpillars,
000017,26,60,54,373.7323000004835,1.4967999995860737,3172,34,8,30,3,False,pointpillars,
000018,32,57,57,167.8646000000299,1.301100001001032,3200,28,20,45,3,False,pointpillars,
000019,37,56,53,70.5565000007482,1.3560000006691553,2775,20,24,16,0,False,pointpillars,
000020,37,53,52,91.09869999883813,1.2615000014193356,3071,40,23,17,0,False,pointpillars,
000021,28,42,39,151.02750000005472,1.2906000010843854,2492,55,10,26,2,False,pointpillars,
000022,16,40,35,87.94709999892802,0.7880000011937227,1168,9,11,18,3,False,pointpillars,
000023,26,40,39,47.31340000034834,2.8395000008458737,1716,43,12,24,3,False,pointpillars,
000024,19,35,36,31.236299999363837,0.7378000009339303,1026,13,10,14,0,False,pointpillars,
000025,10,30,29,26.46939999976894,0.5686999993486097,500,6,7,6,0,False,dbscan_baseline_fallback,9
000026,10,21,19,32.78139999929408,0.9258999998564832,510,15,2,21,6,False,dbscan_baseline_fallback,10
000027,8,17,16,7.448000000294996,0.4826000003959052,256,7,4,15,1,False,dbscan_baseline_fallback,10
000028,22,26,25,1.7992000011872733,0.6850000008853385,462,29,8,1,0,False,dbscan_baseline_fallback,9
000029,5,19,17,5.485499999849708,0.39280000055441633,140,7,2,2,0,False,dbscan_baseline_fallback,10
000030,6,19,18,5.193000000872416,0.4535000007308554,168,9,0,2,2,False,dbscan_baseline_fallback,10
000031,13,18,19,3.5141999996994855,0.5320000000210712,338,16,5,13,3,False,dbscan_baseline_fallback,10
000032,15,21,23,1.7475000004196772,0.46579999980167486,270,12,8,1,0,False,dbscan_baseline_fallback,9
000033,7,15,14,4.33320000047388,0.3780999995797174,175,6,4,3,0,False,dbscan_baseline_fallback,9
000034,10,18,17,5.742400000599446,0.6838000008428935,260,10,5,3,0,False,dbscan_baseline_fallback,10
000035,7,14,14,3.9009000010992168,0.4561000005196547,196,8,2,9,1,False,dbscan_baseline_fallback,10
000036,7,15,15,2.185399998779758,0.4685000003519235,147,5,3,4,0,False,dbscan_baseline_fallback,9
000037,6,13,12,1.8798000000970205,0.34589999995660037,120,5,3,6,1,False,dbscan_baseline_fallback,9
000038,11,13,15,1.1216000002605142,0.45529999988502823,187,10,4,4,0,False,dbscan_baseline_fallback,9
000039,8,12,13,1.3932000001659617,0.39509999987785704,136,9,1,3,2,False,dbscan_baseline_fallback,9
000040,4,12,12,1.3295000007929048,0.2693999995244667,60,3,1,1,0,False,dbscan_baseline_fallback,10
000041,8,13,14,1.8873999997595092,0.4262000002199784,120,6,4,4,0,False,dbscan_baseline_fallback,10
000042,5,8,8,1.1803000015788712,0.28139999994891696,75,4,2,5,1,False,dbscan_baseline_fallback,10
000043,10,11,14,0.8851000002323417,0.3722000001289416,120,7,4,1,0,False,dbscan_baseline_fallback,10
000044,19,24,23,1.5885000011621742,0.4043000008095987,285,7,14,2,0,False,dbscan_baseline_fallback,10
000045,10,19,16,9.139800000411924,0.47929999891493935,270,14,4,1,0,False,dbscan_baseline_fallback,10
000046,14,20,20,5.895400001463713,0.6217000009201001,420,21,3,6,1,False,dbscan_baseline_fallback,10
000047,6,18,19,4.08650000099442,0.47649999942223076,162,9,1,5,1,False,dbscan_baseline_fallback,10
000048,16,24,26,2.5657999995019054,0.5302999998093583,368,24,6,4,0,False,dbscan_baseline_fallback,10
000049,18,24,22,4.168399998889072,0.7211000011011492,450,26,6,5,0,False,dbscan_baseline_fallback,9
