stage,count,mean_ms,p50_ms,p95_ms,min_ms,max_ms
data_load_ms,20,0.7781850000001089,0.7212499999997846,0.8687850000006057,0.5823000000004797,2.0085000000005238
calibration_parse_ms,20,0.269345000060639,0.25439999990339857,0.31650000050831306,0.2133999996658531,0.44190000062371837
point_preprocess_ms,20,5.082810000000171,5.071999999999299,5.9223500000010985,3.9036000000010063,6.968300000000482
voxelization_or_pillarization_ms,20,3.0982100000000123,3.127249999999915,3.8840249999996694,1.9609000000002652,4.104899999999745
model_forward_ms,20,8.074409999999821,7.791399999999449,11.345710000000153,6.873699999999872,11.691700000000083
nms_ms,20,1.2836450000000443,1.2108500000000966,1.6309349999998448,0.9825000000001083,1.7494000000004561
postprocess_ms,20,0.14266499999995297,0.12059999999936011,0.27600000000060915,0.0990999999999076,0.3462999999994665
tracking_ms,20,1.38988500002597,1.4414000006581773,1.985595000405738,0.4380000009405194,2.365500000450993
online_total_ms,20,20.119155000086717,19.680849999382577,23.351585000622336,16.643500000674827,26.39510000095502
visualization_ms,20,90.78912500017395,91.10649999956877,105.74213500062797,74.77860000017245,105.74470000028668
report_write_ms,20,0.0,0.0,0.0,0.0,0.0
image_save_ms,20,0.0,0.0,0.0,0.0,0.0
debug_total_ms,20,90.78912500017395,91.10649999956877,105.74213500062797,74.77860000017245,105.74470000028668
